Name,Category,Latitude,Longitude,Victims
Taumarunui Central.,Area Unit,-38.882365680,175.274537575,200
Tauhoa-Puhoi.,Area Unit,-36.401013987,174.464444993,90
Tauhara.,Area Unit,-38.677466430,176.092447479,270
Tatua.,Area Unit,-38.427812650,176.039732211,25
Tarrangower.,Area Unit,-38.862308933,175.250828035,30
Tarndale-Rakauroa.,Area Unit,-38.380622253,177.688512239,31
Target Road.,Area Unit,-36.764110909,174.727444197,296
Tarawera.,Area Unit,-38.205174153,176.455095505,59
Taramakau.,Area Unit,-42.771045050,171.279140529,6
Taradale South.,Area Unit,-39.545476239,176.836383008,144
Taradale North.,Area Unit,-39.529437131,176.847703125,165
Tapawera.,Area Unit,-41.389905566,172.813012971,7
Tapapa.,Area Unit,-37.956052588,175.846951401,45
Tapanui.,Area Unit,-45.944825337,169.262561350,4
Tangutu.,Area Unit,-36.914172979,174.636875399,72
Tangoio.,Area Unit,-39.344798080,176.820978938,29
Tangiwai.,Area Unit,-39.390569317,175.350895948,56
Tangimoana.,Area Unit,-40.295268451,175.245441215,2
Taneatua.,Area Unit,-38.065938811,177.008387373,29
Tamatea South.,Area Unit,-39.516119196,176.865387821,83
Tamatea North.,Area Unit,-39.509818736,176.868842892,240
Tamarau.,Area Unit,-38.679854999,178.053841942,167
Tamaki.,Area Unit,-36.896176097,174.864597793,235
Tamaki Strait.,Area Unit,,,6
Tamahere-Tauwhare.,Area Unit,-37.818050019,175.380610585,87
Takaro.,Area Unit,-40.353719965,175.597154937,489
Takapuna Central.,Area Unit,-36.783640317,174.768852574,276
Takapu.,Area Unit,-41.171861540,174.846878295,4
Takapau.,Area Unit,-40.026141580,176.352100591,7
Takanini West.,Area Unit,-37.045416621,174.908696868,203
Takanini South.,Area Unit,-37.051766999,174.925811987,893
Takanini North.,Area Unit,-37.027406940,174.926032260,580
Takaka.,Area Unit,-40.862828404,172.812591745,43
Taitville.,Area Unit,-41.291668407,174.757258365,14
Taitapu.,Area Unit,-43.660902377,172.548132180,17
Taita South.,Area Unit,-41.180592380,174.956765249,200
Taita North.,Area Unit,-41.170744022,174.965766524,114
Tairua.,Area Unit,-37.002667589,175.852336088,37
Taipa Bay-Mangonui.,Area Unit,-34.989830493,173.501815894,251
Taihape.,Area Unit,-39.678733181,175.800963487,60
Taieri.,Area Unit,-45.863750899,170.169994699,46
Taiaroa-Cape Saunders.,Area Unit,-45.829455567,170.718003424,12
Tahuroa.,Area Unit,-37.665996288,175.557100929,73
Tahunanui.,Area Unit,-41.283022714,173.239441245,155
Tahuna Hills.,Area Unit,-41.287068513,173.254965020,43
Tahekeroa.,Area Unit,-36.590361119,174.575199814,85
Tahawai.,Area Unit,-37.504624828,175.930977464,29
Taharua.,Area Unit,-39.014256916,176.347985248,2
Taharoa.,Area Unit,-38.131049597,174.754803971,3
Sylvester.,Area Unit,-37.726103081,175.238319576,91
Sydenham.,Area Unit,-43.550762054,172.640988797,666
Swayne.,Area Unit,-37.874804320,175.475240175,24
Swarbrick.,Area Unit,-37.790590654,175.249817301,360
Swanson.,Area Unit,-36.863876145,174.581797466,110
Swanson South.,Area Unit,-36.878788227,174.567799390,15
Surrey Crescent.,Area Unit,-36.864529346,174.729037003,281
Sunshine-Hospital Hill.,Area Unit,-38.888221510,175.269396201,9
Sunshine Bay.,Area Unit,-45.042600650,168.632262966,21
Sunnyvale.,Area Unit,-36.899248036,174.637732416,122
Sunnynook.,Area Unit,-36.754945861,174.742854728,87
Sunnyhills.,Area Unit,-36.906308238,174.870250050,71
